,player,age,nationality,position,selling_club,previous_league,est_market_value,fee,buying_club,window,year,buying_league
39,Filippo Melegoni,21,Italy,Central Midfield,Delfino Pescara 1936,Italy,£810Th.,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
40,Salvatore Elia,21,Italy,Left Winger,SS Juve Stabia,Italy,£315Th.,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
41,Federico Mattiello,25,Italy,Right-Back,Cagliari Calcio,Italy,£1.80m,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
42,Matteo Salvi,21,Italy,Centre-Back,US Città di Pontedera,Italy,£45Th.,"End of loanJun 30, 2020",Atalanta BC,s_w=s,2020,IT1
43,Marco D'Alessandro,29,Italy,Right Midfield,SPAL,Italy,£1.62m,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
44,Alberto Alari,21,Italy,Centre-Back,FC Südtirol,Italy,£68Th.,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
45,Roberto Taliento,21,Italy,Goalkeeper,FC Südtirol,Italy,£68Th.,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
46,Enrico Del Prato,20,Italy,Right-Back,AS Livorno,Italy,£990Th.,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
47,Thomas Bolis,21,Italy,Defensive Midfield,Piacenza Calcio 1919,Italy,£90Th.,"End of loanJun 30, 2020",Atalanta BC,s_w=s,2020,IT1
48,Christian Capone,21,Italy,Left Winger,AC Perugia Calcio,Italy,£810Th.,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
49,Alessandro Mallamo,21,Italy,Left Winger,SS Juve Stabia,Italy,£315Th.,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
50,Lorenzo Migliorelli,22,Italy,Left-Back,ACN Siena 1904,Italy,£158Th.,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
51,Rilind Nivokazi,20,Italy,Centre-Forward,Calcio Lecco 1912,Italy,£23Th.,"End of loanJun 30, 2020",Atalanta BC,s_w=s,2020,IT1
52,Andrea Boffelli,23,Italy,Centre-Back,Aurora Pro Patria,Italy,£203Th.,"End of loanJun 30, 2020",Atalanta BC,s_w=s,2020,IT1
0,Gianluca Lapadula,30,Peru,Centre-Forward,Genoa CFC,Italy,£4.50m,£3.60m,Benevento Calcio,s_w=s,2020,IT1
1,Kamil Glik,32,Poland,Centre-Back,AS Monaco,France,£3.15m,£2.70m,Benevento Calcio,s_w=s,2020,IT1
2,Gianluca Caprari,27,Italy,Second Striker,UC Sampdoria,Italy,£5.85m,Loan fee:£1.17m,Benevento Calcio,s_w=s,2020,IT1
3,Bryan Dabo,28,Burkina Faso,Central Midfield,ACF Fiorentina,Italy,£1.80m,£1.08m,Benevento Calcio,s_w=s,2020,IT1
4,Artur Ionita,30,Moldova,Central Midfield,Cagliari Calcio,Italy,£2.25m,£900Th.,Benevento Calcio,s_w=s,2020,IT1
5,Daam Foulon,21,Belgium,Left-Back,Waasland-Beveren,Belgium,£563Th.,£450Th.,Benevento Calcio,s_w=s,2020,IT1
6,Iago Falque,30,Spain,Right Winger,Torino FC,Italy,£5.40m,Loan fee:£450Th.,Benevento Calcio,s_w=s,2020,IT1
7,Federico Barba,27,Italy,Centre-Back,Chievo Verona,Italy,£1.17m,?,Benevento Calcio,s_w=s,2020,IT1
8,Cy Goddard,24,Japan,Attacking Midfield,Mumbai City FC,India,£68Th.,"End of loanMay 31, 2021",Benevento Calcio,s_w=s,2020,IT1
9,Jean-Claude Billong,26,France,Centre-Back,US Salernitana 1919,Italy,£450Th.,"End of loanSep 21, 2020",Benevento Calcio,s_w=s,2020,IT1
10,Davide Masella,18,Italy,Attacking Midfield,Benevento Primavera,Italy,-,-,Benevento Calcio,s_w=s,2020,IT1
11,Igor Lucatelli,17,Italy,Goalkeeper,Benevento Primavera,Italy,-,-,Benevento Calcio,s_w=s,2020,IT1
12,Alessio Donnarumma,22,Italy,Central Midfield,AZ Picerno,Italy,£45Th.,"End of loanJul 1, 2020",Benevento Calcio,s_w=s,2020,IT1
13,Pietro Iemmello,28,Italy,Centre-Forward,AC Perugia Calcio,Italy,£2.70m,"End of loanAug 31, 2020",Benevento Calcio,s_w=s,2020,IT1
14,Gianluca Di Chiara,26,Italy,Left-Back,AC Perugia Calcio,Italy,£810Th.,"End of loanAug 31, 2020",Benevento Calcio,s_w=s,2020,IT1
15,Salvatore Tazza,22,Italy,Right-Back,FC Arzignano Valchiampo,Italy,£113Th.,"End of loanJul 1, 2020",Benevento Calcio,s_w=s,2020,IT1
16,Giovanni Volpicelli,20,Italy,Central Midfield,SS Arezzo,Italy,£90Th.,"End of loanJun 30, 2020",Benevento Calcio,s_w=s,2020,IT1
17,Cy Goddard,23,Japan,Attacking Midfield,Pafos FC,Cyprus,£45Th.,"End of loanJun 30, 2020",Benevento Calcio,s_w=s,2020,IT1
18,Samuel Armenteros,30,Sweden,Centre-Forward,FC Crotone,Italy,£900Th.,"End of loanAug 31, 2020",Benevento Calcio,s_w=s,2020,IT1
19,Yacine Nembot,19,Cameroon,Central Midfield,Audace Cerignola,Italy,£23Th.,"End of loanJun 30, 2020",Benevento Calcio,s_w=s,2020,IT1
0,Aaron Hickey,18,Scotland,Left-Back,Heart of Midlothian FC,Scotland,£540Th.,£1.80m,Bologna FC 1909,s_w=s,2020,IT1
1,Edoardo Vergani,19,Italy,Centre-Forward,Inter Milan Primavera,Italy,£360Th.,Loan fee:£720Th.,Bologna FC 1909,s_w=s,2020,IT1
2,Lorenzo De Silvestri,32,Italy,Right-Back,Torino FC,Italy,£2.25m,free transfer,Bologna FC 1909,s_w=s,2020,IT1
3,Luis Binks,18,England,Centre-Back,Montreal Impact,United States,£90Th.,?,Bologna FC 1909,s_w=s,2020,IT1
4,Sebastian Breza,22,Canada,Goalkeeper,Potenza Calcio,Italy,£90Th.,?,Bologna FC 1909,s_w=s,2020,IT1
5,César Falletti,27,Uruguay,Attacking Midfield,Club Tijuana,Mexico,£1.26m,"End of loanJun 30, 2020",Bologna FC 1909,s_w=s,2020,IT1
6,Nehuén Paz,27,Argentina,Centre-Back,US Lecce,Italy,£450Th.,"End of loanAug 31, 2020",Bologna FC 1909,s_w=s,2020,IT1
7,Emanuel Vignato,20,Italy,Right Winger,Chievo Verona,Italy,£4.05m,"End of loanAug 31, 2020",Bologna FC 1909,s_w=s,2020,IT1
8,Hamza El Kaouakibi,22,Morocco,Right-Back,US Pianese,Italy,£68Th.,"End of loanJul 1, 2020",Bologna FC 1909,s_w=s,2020,IT1
9,Mattia Destro,29,Italy,Centre-Forward,Genoa CFC,Italy,£1.62m,"End of loanAug 31, 2020",Bologna FC 1909,s_w=s,2020,IT1
10,Juan Manuel Valencia,22,Colombia,Central Midfield,AC Reggiana 1919,Italy,£180Th.,"End of loanAug 31, 2020",Bologna FC 1909,s_w=s,2020,IT1
11,Diego Falcinelli,29,Italy,Centre-Forward,AC Perugia Calcio,Italy,£1.08m,"End of loanAug 31, 2020",Bologna FC 1909,s_w=s,2020,IT1
12,Kingsley Michael,21,Nigeria,Central Midfield,US Cremonese,Italy,£630Th.,"End of loanAug 31, 2020",Bologna FC 1909,s_w=s,2020,IT1
13,Nicola Ghini,20,Italy,Central Midfield,AC Prato,Italy,£68Th.,"End of loanJun 30, 2020",Bologna FC 1909,s_w=s,2020,IT1
14,Antonio Santurro,28,Italy,Goalkeeper,US Sambenedettese,Italy,£90Th.,"End of loanAug 31, 2020",Bologna FC 1909,s_w=s,2020,IT1
15,Arturo Calabresi,24,Italy,Centre-Back,Amiens SC,France,£1.98m,"End of loanJun 30, 2020",Bologna FC 1909,s_w=s,2020,IT1
16,Godfred Donsah,24,Ghana,Central Midfield,Cercle Brugge ,Belgium,£2.16m,"End of loanJun 30, 2020",Bologna FC 1909,s_w=s,2020,IT1
17,Tommaso Cassandro,20,Italy,Right-Back,Novara Calcio 1908,Italy,£180Th.,"End of loanAug 31, 2020",Bologna FC 1909,s_w=s,2020,IT1
18,Luca Rizzo,28,Italy,Central Midfield,AS Livorno,Italy,£428Th.,"End of loanJun 30, 2020",Bologna FC 1909,s_w=s,2020,IT1
19,Alessandro Bianconi,21,Italy,Centre-Back,Como 1907,Italy,£23Th.,"End of loanJun 30, 2020",Bologna FC 1909,s_w=s,2020,IT1
20,Emiliano Pattarello,20,Italy,Right Winger,FC Arzignano Valchiampo,Italy,£68Th.,"End of loanJul 1, 2020",Bologna FC 1909,s_w=s,2020,IT1
21,Federico Ravaglia,20,Italy,Goalkeeper,AS Gubbio 1910,Italy,£90Th.,"End of loanJun 30, 2020",Bologna FC 1909,s_w=s,2020,IT1
22,Fabrizio Brignani,22,Italy,Centre-Back,Cesena FC,Italy,£135Th.,"End of loanJun 30, 2020",Bologna FC 1909,s_w=s,2020,IT1
0,Marko Rog,25,Croatia,Central Midfield,SSC Napoli,Italy,£11.70m,£11.70m,Cagliari Calcio,s_w=s,2020,IT1
1,Giovanni Simeone,25,Argentina,Centre-Forward,ACF Fiorentina,Italy,£13.50m,£10.80m,Cagliari Calcio,s_w=s,2020,IT1
2,Alessandro Tripaldelli,21,Italy,Left-Back,US Sassuolo,Italy,£405Th.,£2.70m,Cagliari Calcio,s_w=s,2020,IT1
3,Zito Luvumbo,18,Angola,Right Winger,CD 1º de Agosto,Angola,-,£900Th.,Cagliari Calcio,s_w=s,2020,IT1
4,Diego Godín,34,Uruguay,Centre-Back,Inter Milan,Italy,£4.50m,free transfer,Cagliari Calcio,s_w=s,2020,IT1
5,Gabriele Zappa,20,Italy,Right-Back,Delfino Pescara 1936,Italy,£2.25m,loan transfer,Cagliari Calcio,s_w=s,2020,IT1
6,Riccardo Sottil,21,Italy,Left Winger,ACF Fiorentina,Italy,£3.24m,loan transfer,Cagliari Calcio,s_w=s,2020,IT1
7,Răzvan Marin,24,Romania,Central Midfield,Ajax Amsterdam,Netherlands,£7.20m,loan transfer,Cagliari Calcio,s_w=s,2020,IT1
8,Matteo Tramoni,20,France,Left Winger,AC Ajaccio,France,£1.35m,?,Cagliari Calcio,s_w=s,2020,IT1
9,Adam Ounas,23,Algeria,Right Winger,SSC Napoli,Italy,£7.20m,loan transfer,Cagliari Calcio,s_w=s,2020,IT1
10,Senna Miangue,23,Congo,Left-Back,Standard Liège,Belgium,£720Th.,"End of loanJun 30, 2020",Cagliari Calcio,s_w=s,2020,IT1
11,Damir Ceter,22,Colombia,Centre-Forward,Chievo Verona,Italy,£405Th.,"End of loanAug 31, 2020",Cagliari Calcio,s_w=s,2020,IT1
12,Nicolò Barella,23,Italy,Central Midfield,Inter Milan,Italy,£45.00m,"End of loanAug 31, 2020",Cagliari Calcio,s_w=s,2020,IT1
13,Fabrizio Caligara,20,Italy,Central Midfield,Venezia FC,Italy,£405Th.,"End of loanAug 31, 2020",Cagliari Calcio,s_w=s,2020,IT1
14,Guglielmo Vicario,23,Italy,Goalkeeper,AC Perugia Calcio,Italy,£900Th.,"End of loanAug 31, 2020",Cagliari Calcio,s_w=s,2020,IT1
15,Diego Farias,30,Brazil,Second Striker,US Lecce,Italy,£3.15m,"End of loanAug 31, 2020",Cagliari Calcio,s_w=s,2020,IT1
16,Marko Pajac,27,Croatia,Left Midfield,Genoa CFC,Italy,£990Th.,"End of loanAug 31, 2020",Cagliari Calcio,s_w=s,2020,IT1
17,Kiril Despodov,23,Bulgaria,Right Winger,SK Sturm Graz,Austria,£2.88m,"End of loanJul 31, 2020",Cagliari Calcio,s_w=s,2020,IT1
18,Filippo Romagna,23,Italy,Centre-Back,US Sassuolo,Italy,£4.05m,"End of loanAug 31, 2020",Cagliari Calcio,s_w=s,2020,IT1
19,Simone Pinna,22,Italy,Right-Back,FC Empoli,Italy,£180Th.,"End of loanAug 31, 2020",Cagliari Calcio,s_w=s,2020,IT1
20,Alessandro Deiola,25,Italy,Central Midfield,US Lecce,Italy,£900Th.,"End of loanAug 31, 2020",Cagliari Calcio,s_w=s,2020,IT1
21,Filip Bradaric,28,Croatia,Defensive Midfield,Celta de Vigo,Spain,£2.88m,"End of loanJul 20, 2020",Cagliari Calcio,s_w=s,2020,IT1
22,Luca Crosta,22,Italy,Goalkeeper,AC Renate,Italy,£135Th.,"End of loanAug 31, 2020",Cagliari Calcio,s_w=s,2020,IT1
23,Lucas Castro,31,Argentina,Central Midfield,SPAL,Italy,£1.98m,"End of loanAug 31, 2020",Cagliari Calcio,s_w=s,2020,IT1
24,Alberto Cerri,24,Italy,Centre-Forward,SPAL,Italy,£2.70m,"End of loanAug 31, 2020",Cagliari Calcio,s_w=s,2020,IT1
0,Luis Rojas,18,Chile,Attacking Midfield,Club Universidad de Chile,Chile,-,£2.16m,FC Crotone,s_w=s,2020,IT1
1,Jacopo Petriccione,25,Italy,Defensive Midfield,US Lecce,Italy,£2.70m,£1.35m,FC Crotone,s_w=s,2020,IT1
2,Luca Marrone,30,Italy,Centre-Back,Hellas Verona,Italy,£675Th.,£900Th.,FC Crotone,s_w=s,2020,IT1
3,Milos Vulic,24,Serbia,Central Midfield,Red Star Belgrade,Serbia,£1.44m,£720Th.,FC Crotone,s_w=s,2020,IT1
4,Sebastiano Luperto,24,Italy,Centre-Back,SSC Napoli,Italy,£3.15m,Loan fee:£450Th.,FC Crotone,s_w=s,2020,IT1
5,Luca Cigarini,34,Italy,Defensive Midfield,Cagliari Calcio,Italy,£720Th.,free transfer,FC Crotone,s_w=s,2020,IT1
6,Emmanuel Rivière,30,Martinique,Centre-Forward,Cosenza Calcio,Italy,£765Th.,free transfer,FC Crotone,s_w=s,2020,IT1
7,Luca Siligardi,32,Italy,Right Winger,Parma Calcio 1913,Italy,£450Th.,loan transfer,FC Crotone,s_w=s,2020,IT1
8,Koffi Djidji,27,Cote d'Ivoire,Centre-Back,Torino FC,Italy,£2.70m,loan transfer,FC Crotone,s_w=s,2020,IT1
9,Giovanni Bruzzaniti,20,Italy,Left Winger,FC Pro Vercelli 1892,Italy,£45Th.,?,FC Crotone,s_w=s,2020,IT1
10,Arkadiusz Reca,25,Poland,Left Midfield,Atalanta BC,Italy,£2.16m,loan transfer,FC Crotone,s_w=s,2020,IT1
11,Pedro Pereira,22,Portugal,Right Midfield,SL Benfica,Portugal,£1.62m,loan transfer,FC Crotone,s_w=s,2020,IT1
12,Denis Dragus,21,Romania,Centre-Forward,Standard Liège,Belgium,£1.17m,loan transfer,FC Crotone,s_w=s,2020,IT1
13,Eduardo Henrique,25,Brazil,Defensive Midfield,Sporting CP,Portugal,£2.16m,loan transfer,FC Crotone,s_w=s,2020,IT1
14,Andrea Rispoli,31,Italy,Right Midfield,US Lecce,Italy,£630Th.,?,FC Crotone,s_w=s,2020,IT1
15,Lisandro Magallán,26,Argentina,Centre-Back,Ajax Amsterdam,Netherlands,£4.32m,loan transfer,FC Crotone,s_w=s,2020,IT1
16,Francesco D'Alterio,18,Italy,Goalkeeper,Crotone Primavera,Italy,-,-,FC Crotone,s_w=s,2020,IT1
17,Giacomo Figliuzzi,20,Italy,Goalkeeper,AC Gozzano,Italy,£45Th.,"End of loanJul 1, 2021",FC Crotone,s_w=s,2020,IT1
18,Pasquale Giannotti,21,Italy,Central Midfield,Rende Calcio 1968,Italy,£113Th.,"End of loanJul 1, 2020",FC Crotone,s_w=s,2020,IT1
19,Gian Marco Crespi,19,Italy,Goalkeeper,AC Gozzano,Italy,£135Th.,"End of loanJun 30, 2020",FC Crotone,s_w=s,2020,IT1
20,Jeremy Petris,22,France,Right-Back,AS Bisceglie 1913,Italy,£135Th.,"End of loanJul 1, 2020",FC Crotone,s_w=s,2020,IT1
21,Luka Markovic,20,Serbia,Centre-Forward,Torino Primavera,Italy,£68Th.,"End of loanJun 30, 2020",FC Crotone,s_w=s,2020,IT1
22,Augustus Kargbo,21,Sierra Leone,Second Striker,AC Reggiana 1919,Italy,£450Th.,"End of loanAug 31, 2020",FC Crotone,s_w=s,2020,IT1
23,Nicola Nanni,20,San Marino,Centre-Forward,SS Monopoli 1966,Italy,£45Th.,"End of loanAug 31, 2020",FC Crotone,s_w=s,2020,IT1
24,Giuseppe Borello,21,Italy,Right Winger,Cesena FC,Italy,£270Th.,"End of loanJun 30, 2020",FC Crotone,s_w=s,2020,IT1
25,Aristóteles Romero,24,Venezuela,Defensive Midfield,FK Partizani,Albania,£270Th.,"End of loanJun 30, 2020",FC Crotone,s_w=s,2020,IT1
26,Alessandro Garattoni,22,Italy,Right-Back,Imolese Calcio 1919,Italy,£113Th.,"End of loanJul 1, 2020",FC Crotone,s_w=s,2020,IT1
27,Mateo Itrak,20,Croatia,Central Midfield,ND Gorica,Slovenia,£45Th.,"End of loanJun 30, 2020",FC Crotone,s_w=s,2020,IT1
0,Alfred Duncan,27,Ghana,Central Midfield,US Sassuolo,Italy,£13.50m,£13.50m,ACF Fiorentina,s_w=s,2020,IT1
1,Pol Lirola,23,Spain,Right-Back,US Sassuolo,Italy,£9.00m,£9.90m,ACF Fiorentina,s_w=s,2020,IT1
2,Christian Kouamé,22,Cote d'Ivoire,Centre-Forward,Genoa CFC,Italy,£15.75m,£9.90m,ACF Fiorentina,s_w=s,2020,IT1
3,Lucas Martínez Quarta,24,Argentina,Centre-Back,Club Atlético River Plate,Argentina,£9.00m,£5.40m,ACF Fiorentina,s_w=s,2020,IT1
4,Giacomo Bonaventura,31,Italy,Central Midfield,AC Milan,Italy,£6.30m,free transfer,ACF Fiorentina,s_w=s,2020,IT1
5,Borja Valero,35,Spain,Central Midfield,Inter Milan,Italy,£1.08m,free transfer,ACF Fiorentina,s_w=s,2020,IT1
6,José Callejón,33,Spain,Right Winger,SSC Napoli,Italy,£6.75m,free transfer,ACF Fiorentina,s_w=s,2020,IT1
7,Antonio Barreca,25,Italy,Left-Back,AS Monaco,France,£2.70m,loan transfer,ACF Fiorentina,s_w=s,2020,IT1
8,Christian Dalle Mura,18,Italy,Centre-Back,Fiorentina Primavera,Italy,-,-,ACF Fiorentina,s_w=s,2020,IT1
9,Josip Maganjic,21,Croatia,Left Winger,NK Istra 1961,Croatia,£90Th.,"End of loanAug 31, 2020",ACF Fiorentina,s_w=s,2020,IT1
10,Riccardo Baroni,21,Italy,Centre-Back,ACN Siena 1904,Italy,£180Th.,"End of loanJun 30, 2020",ACF Fiorentina,s_w=s,2020,IT1
11,Mattia Trovato,22,Italy,Right Winger,AS Livorno,Italy,£113Th.,"End of loanAug 31, 2020",ACF Fiorentina,s_w=s,2020,IT1
12,Kevin-Prince Boateng,33,Ghana,Attacking Midfield,Besiktas JK,Turkey,£2.88m,"End of loanAug 3, 2020",ACF Fiorentina,s_w=s,2020,IT1
13,Tòfol Montiel,20,Spain,Attacking Midfield,Vitória Setúbal FC,Portugal,£810Th.,"End of loanJul 31, 2020",ACF Fiorentina,s_w=s,2020,IT1
14,Pierluigi Pinto,21,Italy,Centre-Back,SSC Bari,Italy,£158Th.,"End of loanAug 31, 2020",ACF Fiorentina,s_w=s,2020,IT1
15,Valentin Eysseric,28,France,Attacking Midfield,Hellas Verona,Italy,£1.08m,"End of loanAug 31, 2020",ACF Fiorentina,s_w=s,2020,IT1
16,Sofyan Amrabat,24,Morocco,Central Midfield,Hellas Verona,Italy,£18.00m,"End of loanAug 31, 2020",ACF Fiorentina,s_w=s,2020,IT1
17,Luca Ranieri,21,Italy,Left-Back,Ascoli Calcio,Italy,£1.80m,"End of loanAug 31, 2020",ACF Fiorentina,s_w=s,2020,IT1
18,Bryan Dabo,28,Burkina Faso,Central Midfield,SPAL,Italy,£1.80m,"End of loanAug 31, 2020",ACF Fiorentina,s_w=s,2020,IT1
19,Jacob Rasmussen,23,Denmark,Centre-Back,FC Erzgebirge Aue,Germany,£2.52m,"End of loanJun 30, 2020",ACF Fiorentina,s_w=s,2020,IT1
20,Sebastián Cristóforo,26,Uruguay,Central Midfield,SD Eibar,Spain,£1.08m,"End of loanJul 20, 2020",ACF Fiorentina,s_w=s,2020,IT1
21,Michele Cerofolini,21,Italy,Goalkeeper,Casertana FC,Italy,£248Th.,"End of loanJun 30, 2020",ACF Fiorentina,s_w=s,2020,IT1
22,Mamadou Touré Diawara,20,Spain,Central Midfield,Lusitano Ginásio Clube SAD,Portugal,-,"End of loanJun 30, 2020",ACF Fiorentina,s_w=s,2020,IT1
23,Gabriele Gori,21,Italy,Centre-Forward,SS Arezzo,Italy,£405Th.,"End of loanJun 30, 2020",ACF Fiorentina,s_w=s,2020,IT1
24,Rafik Zekhnini,22,Norway,Left Winger,Twente Enschede FC,Netherlands,£698Th.,"End of loanJun 30, 2020",ACF Fiorentina,s_w=s,2020,IT1
25,Giovanni Simeone,25,Argentina,Centre-Forward,Cagliari Calcio,Italy,£13.50m,"End of loanAug 31, 2020",ACF Fiorentina,s_w=s,2020,IT1
26,Gabriele Ferrarini,20,Italy,Right-Back,US Pistoiese 1921,Italy,£225Th.,"End of loanJun 30, 2020",ACF Fiorentina,s_w=s,2020,IT1
27,Cristiano Biraghi,27,Italy,Left-Back,Inter Milan,Italy,£8.55m,"End of loanAug 31, 2020",ACF Fiorentina,s_w=s,2020,IT1
28,Julián Illanes,23,Argentina,Centre-Back,US Avellino 1912,Italy,£90Th.,"End of loanAug 31, 2020",ACF Fiorentina,s_w=s,2020,IT1
29,Marco Marozzi,21,Italy,Right Midfield,Virtus Francavilla Calcio,Italy,£45Th.,"End of loanAug 31, 2020",ACF Fiorentina,s_w=s,2020,IT1
30,Amidu Salifu,27,Ghana,Central Midfield,Al-Salmiya Sports Club,Kuwait,£113Th.,"End of loanJun 29, 2020",ACF Fiorentina,s_w=s,2020,IT1
31,Petko Hristov,21,Bulgaria,Centre-Back,AS Bisceglie 1913,Italy,£383Th.,"End of loanJul 1, 2020",ACF Fiorentina,s_w=s,2020,IT1
32,Riccardo Saponara,28,Italy,Attacking Midfield,Genoa CFC,Italy,£2.25m,"End of loanAug 31, 2020",ACF Fiorentina,s_w=s,2020,IT1
33,Erald Lakti,20,Albania,Central Midfield,AS Gubbio 1910,Italy,£135Th.,"End of loanJun 30, 2020",ACF Fiorentina,s_w=s,2020,IT1
34,Marco Meli,20,Italy,Attacking Midfield,AS Gubbio 1910,Italy,£90Th.,"End of loanJun 30, 2020",ACF Fiorentina,s_w=s,2020,IT1
35,Jordan Veretout,27,France,Central Midfield,AS Roma,Italy,£21.60m,"End of loanAug 31, 2020",ACF Fiorentina,s_w=s,2020,IT1
36,Martin Graiciar,21,Czech Republic,Centre-Forward,AC Sparta Praha,Czech Republic,£405Th.,"End of loanJun 30, 2020",ACF Fiorentina,s_w=s,2020,IT1
0,Andrea Pinamonti,21,Italy,Centre-Forward,Inter Milan,Italy,£12.15m,£17.55m,Genoa CFC,s_w=s,2020,IT1
1,Eldor Shomurodov,25,Uzbekistan,Centre-Forward,FK Rostov,Russia,£5.85m,£6.75m,Genoa CFC,s_w=s,2020,IT1
2,Francesco Cassata,23,Italy,Central Midfield,US Sassuolo,Italy,£2.25m,£6.30m,Genoa CFC,s_w=s,2020,IT1
3,Gabriel Charpentier,21,France,Centre-Forward,Spartaks Jurmala,Latvia,£203Th.,£1.35m,Genoa CFC,s_w=s,2020,IT1
4,Giuseppe Caso,21,Italy,Left Winger,SS Arezzo,Italy,£180Th.,£225Th.,Genoa CFC,s_w=s,2020,IT1
5,Riccardo Correnti,19,Italy,Left Midfield,FC Messina,Italy,£45Th.,free transfer,Genoa CFC,s_w=s,2020,IT1
6,Mattia Destro,29,Italy,Centre-Forward,Bologna FC 1909,Italy,£1.62m,free transfer,Genoa CFC,s_w=s,2020,IT1
7,Milan Badelj,31,Croatia,Defensive Midfield,SS Lazio,Italy,£1.80m,free transfer,Genoa CFC,s_w=s,2020,IT1
8,Davide Zappacosta,28,Italy,Right Midfield,Chelsea FC,England,£9.00m,loan transfer,Genoa CFC,s_w=s,2020,IT1
9,Mattia Bani,26,Italy,Centre-Back,Bologna FC 1909,Italy,£2.88m,loan transfer,Genoa CFC,s_w=s,2020,IT1
10,Davide Castelli,21,Italy,Centre-Forward,FC Villarreal C,Spain,-,?,Genoa CFC,s_w=s,2020,IT1
11,Alberto Paleari,28,Italy,Goalkeeper,AS Cittadella,Italy,£900Th.,loan transfer,Genoa CFC,s_w=s,2020,IT1
12,Gianluca Scamacca,21,Italy,Centre-Forward,US Sassuolo,Italy,£4.50m,loan transfer,Genoa CFC,s_w=s,2020,IT1
13,Luca Pellegrini,21,Italy,Left Midfield,Juventus FC,Italy,£12.15m,loan transfer,Genoa CFC,s_w=s,2020,IT1
14,Darian Males,19,Switzerland,Centre-Forward,Inter Milan,Italy,£1.80m,loan transfer,Genoa CFC,s_w=s,2020,IT1
15,Marko Pjaca,25,Croatia,Left Winger,Juventus FC,Italy,£4.50m,loan transfer,Genoa CFC,s_w=s,2020,IT1
16,Joel Asoro,21,Sweden,Centre-Forward,Swansea City,England,£1.17m,loan transfer,Genoa CFC,s_w=s,2020,IT1
17,Filippo Melegoni,21,Italy,Central Midfield,Atalanta BC,Italy,£810Th.,loan transfer,Genoa CFC,s_w=s,2020,IT1
18,Miha Zajc,26,Slovenia,Attacking Midfield,Fenerbahce SK,Turkey,£2.43m,loan transfer,Genoa CFC,s_w=s,2020,IT1
19,Lennart Czyborra,21,Germany,Left Midfield,Atalanta BC,Italy,£3.15m,loan transfer,Genoa CFC,s_w=s,2020,IT1
20,Nicolò Rovella,18,Italy,Defensive Midfield,Genoa Primavera,Italy,£720Th.,-,Genoa CFC,s_w=s,2020,IT1
21,Kevin Agudelo,21,Colombia,Attacking Midfield,ACF Fiorentina,Italy,£3.15m,"End of loanSep 15, 2020",Genoa CFC,s_w=s,2020,IT1
22,Marcos Curado,25,Argentina,Centre-Back,FC Crotone,Italy,£360Th.,"End of loanAug 31, 2020",Genoa CFC,s_w=s,2020,IT1
23,Oscar Hiljemark,28,Sweden,Central Midfield,Dynamo Moscow,Russia,£1.35m,"End of loanJul 31, 2020",Genoa CFC,s_w=s,2020,IT1
24,Nicola Dalmonte,22,Italy,Left Midfield,Trapani Calcio,Italy,£720Th.,"End of loanAug 31, 2020",Genoa CFC,s_w=s,2020,IT1
25,András Schäfer,21,Hungary,Left Midfield,DAC Dunajska Streda,Slovakia,£360Th.,"End of loanAug 31, 2020",Genoa CFC,s_w=s,2020,IT1
26,Raúl Asencio,22,Spain,Centre-Forward,Cosenza Calcio,Italy,£765Th.,"End of loanAug 31, 2020",Genoa CFC,s_w=s,2020,IT1
27,Stephane Omeonga,24,Belgium,Central Midfield,Hibernian FC,Scotland,£720Th.,"End of loanJun 30, 2020",Genoa CFC,s_w=s,2020,IT1
28,Sinan Gümüs,26,Germany,Right Winger,Antalyaspor,Turkey,£855Th.,"End of loanAug 3, 2020",Genoa CFC,s_w=s,2020,IT1
29,Riccardo Saponara,28,Italy,Attacking Midfield,US Lecce,Italy,£2.25m,"End of loanAug 30, 2020",Genoa CFC,s_w=s,2020,IT1
30,Jawad El Yamiq,28,Morocco,Centre-Back,Real Zaragoza,Spain,£585Th.,"End of loanAug 17, 2020",Genoa CFC,s_w=s,2020,IT1
31,Christian Kouamé,22,Cote d'Ivoire,Centre-Forward,ACF Fiorentina,Italy,£15.75m,"End of loanAug 31, 2020",Genoa CFC,s_w=s,2020,IT1
32,Antonio Candela,20,Italy,Right-Back,Olbia Calcio 1905,Italy,£315Th.,"End of loanJul 1, 2020",Genoa CFC,s_w=s,2020,IT1
33,Vittorio Parigini,24,Italy,Right Winger,US Cremonese,Italy,£990Th.,"End of loanAug 31, 2020",Genoa CFC,s_w=s,2020,IT1
34,Rômulo,33,Italy,Central Midfield,Brescia Calcio,Italy,£1.44m,"End of loanJun 30, 2020",Genoa CFC,s_w=s,2020,IT1
